run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
qwen35-4b-q4.clauses,fr,300,pseudo(gemma4-26b),66.0,,217.7,324.9,428.1,55.0,230.9,349.8,437.4,69.0,907.0,3740,0,
qwen35-4b-q4.clauses,pt,300,pseudo(gemma4-26b),68.8,,206.1,324.8,436.7,55.6,230.9,349.8,437.4,67.0,907.0,3740,0,
qwen35-4b-q4.clauses.oneprompt,de,300,pseudo(gemma4-26b),62.8,,346.7,510.2,635.1,29.4,446.6,671.8,849.9,,579.0,3494,0,fragment-continued=1
qwen35-4b-q4.clauses.oneprompt,es,300,pseudo(gemma4-26b),68.9,,126.1,180.9,248.3,29.4,446.6,671.8,849.9,526.0,579.0,3494,0,
qwen35-4b-q4.clauses.oneprompt,fr,300,pseudo(gemma4-26b),64.8,,236.8,354.1,455.0,29.4,446.6,671.8,849.9,,579.0,3494,0,
qwen35-4b-q4.clauses.oneprompt,pt,300,pseudo(gemma4-26b),65.9,,446.3,671.4,849.5,29.4,446.6,671.8,849.9,,579.0,3494,0,
qwen35-4b-q4.clauses.single,de,300,pseudo(gemma4-26b),64.2,,117.9,182.8,239.4,23.0,462.3,704.7,885.9,127.0,961.0,3494,0,
qwen35-4b-q4.clauses.single,es,300,pseudo(gemma4-26b),69.5,,111.6,171.4,223.5,22.9,462.3,704.7,885.9,125.0,961.0,3494,0,
qwen35-4b-q4.clauses.single,fr,300,pseudo(gemma4-26b),66.1,,118.9,181.6,239.0,23.0,462.3,704.7,885.9,127.0,961.0,3494,0,
qwen35-4b-q4.clauses.single,pt,300,pseudo(gemma4-26b),68.6,,110.1,180.9,218.5,23.0,462.3,704.7,885.9,125.0,961.0,3494,0,
qwen35-4b-q4.clauses.threads,de,300,pseudo(gemma4-26b),64.2,,332.2,521.9,655.0,63.7,346.1,535.5,665.0,44.0,551.0,5302,0,
qwen35-4b-q4.clauses.threads,es,300,pseudo(gemma4-26b),69.5,,322.1,492.6,643.0,63.4,346.1,535.5,665.0,43.0,551.0,5302,0,
qwen35-4b-q4.clauses.threads,fr,300,pseudo(gemma4-26b),66.1,,332.7,508.7,664.4,63.7,346.1,535.5,665.0,45.0,551.0,5302,0,
qwen35-4b-q4.clauses.threads,pt,300,pseudo(gemma4-26b),68.6,,316.8,517.0,646.1,63.8,346.1,535.5,665.0,43.0,551.0,5302,0,
qwen35-4b-q4.flores-zh,zh,500,flores,31.3,,169.3,294.7,578.6,25.4,169.7,295.1,579.0,137.0,929.0,3494,0,
qwen35-4b-q4.flores,de,500,flores,60.3,,421.7,695.1,1050.6,63.0,454.5,742.1,1222.0,80.0,943.0,3740,1,
qwen35-4b-q4.flores,es,500,flores,53.4,,419.5,670.4,1220.9,62.4,454.5,742.1,1222.0,79.0,943.0,3740,1,
qwen35-4b-q4.flores,fr,500,flores,66.9,,438.9,712.3,1207.4,62.7,454.5,742.1,1222.0,81.0,943.0,3740,1,
qwen35-4b-q4.flores,pt,500,flores,68.4,,414.3,657.6,1181.6,63.3,454.5,742.1,1222.0,78.0,943.0,3740,1,
qwen35-4b-q8.clauses+asr,de,300,pseudo(gemma4-26b),64.4,,475.4,759.7,906.0,90.8,524.1,834.8,1007.5,31.0,1585.0,5400,0,
qwen35-4b-q8.clauses+asr,es,300,pseudo(gemma4-26b),70.1,,470.5,760.8,953.7,90.2,524.1,834.8,1007.5,30.0,1585.0,5400,0,
qwen35-4b-q8.clauses+asr,fr,300,pseudo(gemma4-26b),66.6,,488.8,765.3,1006.9,90.5,524.1,834.8,1007.5,31.0,1585.0,5400,0,
qwen35-4b-q8.clauses+asr,pt,300,pseudo(gemma4-26b),69.6,,460.2,756.4,958.9,91.1,524.1,834.8,1007.5,30.0,1585.0,5400,0,
qwen35-4b-q8.clauses,de,300,pseudo(gemma4-26b),64.4,,230.3,352.8,422.8,53.3,244.9,378.4,447.1,65.0,1279.0,5400,0,
qwen35-4b-q8.clauses,es,300,pseudo(gemma4-26b),70.1,,222.2,343.2,428.3,52.7,244.9,378.4,447.1,63.0,1279.0,5400,0,
qwen35-4b-q8.clauses,fr,300,pseudo(gemma4-26b),66.6,,232.6,357.5,446.1,53.0,244.9,378.4,447.1,65.0,1279.0,5400,0,
qwen35-4b-q8.clauses,pt,300,pseudo(gemma4-26b),69.6,,220.6,343.8,446.4,53.6,244.9,378.4,447.1,63.0,1279.0,5400,0,
qwen35-4b-q8.flores,de,500,flores,60.8,,455.8,783.2,1246.2,61.0,498.5,822.8,1347.1,74.0,1358.0,5400,0,
qwen35-4b-q8.flores,es,500,flores,53.6,,451.2,738.4,1346.1,60.4,498.5,822.8,1347.1,72.0,1358.0,5400,0,
qwen35-4b-q8.flores,fr,500,flores,67.0,,478.2,782.9,1336.8,60.7,498.5,822.8,1347.1,74.0,1358.0,5400,0,
qwen35-4b-q8.flores,pt,500,flores,68.2,,452.1,739.1,1305.0,61.3,498.5,822.8,1347.1,72.0,1358.0,5400,0,
tgemma4b-q4.clauses+asr,de,300,pseudo(gemma4-26b),56.9,,440.5,714.2,901.4,83.3,507.6,804.5,1336.7,35.0,1141.0,3738,0,
tgemma4b-q4.clauses+asr,es,300,pseudo(gemma4-26b),61.7,,412.0,682.7,1068.2,82.7,507.6,804.5,1336.7,33.0,1141.0,3738,0,fragment-continued=1;too-long=1
tgemma4b-q4.clauses+asr,fr,300,pseudo(gemma4-26b),59.3,,468.3,727.9,1334.9,83.0,507.6,804.5,1336.7,34.0,1141.0,3738,0,fragment-continued=1
tgemma4b-q4.clauses+asr,pt,300,pseudo(gemma4-26b),61.5,,436.7,713.5,1068.9,83.6,507.6,804.5,1336.7,33.0,1141.0,3738,0,
tgemma4b-q4.clauses,de,300,pseudo(gemma4-26b),56.9,,183.1,280.5,361.7,47.5,203.6,312.4,480.7,85.0,824.0,3738,0,
tgemma4b-q4.clauses,es,300,pseudo(gemma4-26b),61.7,,170.2,270.4,396.7,46.9,203.6,312.4,480.7,81.0,824.0,3738,0,fragment-continued=1;too-long=1
tgemma4b-q4.clauses,fr,300,pseudo(gemma4-26b),59.3,,191.9,284.6,479.0,47.2,203.6,312.4,480.7,85.0,824.0,3738,0,fragment-continued=1
tgemma4b-q4.clauses,pt,300,pseudo(gemma4-26b),61.5,,180.5,287.3,397.3,47.8,203.6,312.4,480.7,81.0,824.0,3738,0,
tgemma4b-q4.flores,de,500,flores,58.7,,363.3,594.6,931.0,52.0,395.0,631.9,1022.2,98.0,847.0,3746,0,
tgemma4b-q4.flores,es,500,flores,53.7,,351.0,591.9,999.8,51.4,395.0,631.9,1022.2,95.0,847.0,3746,0,
tgemma4b-q4.flores,fr,500,flores,63.6,,373.3,615.7,1020.0,51.7,395.0,631.9,1022.2,98.0,847.0,3746,0,
tgemma4b-q4.flores,pt,500,flores,64.2,,364.6,598.2,1000.4,52.3,395.0,631.9,1022.2,95.0,847.0,3746,0,
