run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
hymt7-q4.clauses,pt,300,pseudo(gemma4-26b),72.4,,247.5,383.8,495.7,43.8,270.3,418.2,499.3,69.0,639.0,5480,0,
hymt7-q4.flores-zh,zh,500,flores,28.8,,208.8,387.8,632.1,21.8,209.1,388.2,632.5,116.0,656.0,5094,0,
hymt7-q4.flores,de,500,flores,63.9,,533.8,879.2,1366.0,52.6,566.2,936.6,1432.4,78.0,1047.0,5484,0,
hymt7-q4.flores,es,500,flores,55.4,,513.1,850.9,1347.1,52.3,566.2,936.6,1432.4,76.0,1047.0,5484,0,
hymt7-q4.flores,fr,500,flores,68.1,,528.0,897.3,1431.3,52.4,566.2,936.6,1432.4,78.0,1047.0,5484,0,
hymt7-q4.flores,pt,500,flores,70.4,,523.1,846.5,1366.2,52.7,566.2,936.6,1432.4,76.0,1047.0,5484,0,
m2m12b.clauses+asr,de,300,pseudo(gemma4-26b),57.6,,146.0,230.2,292.8,,146.0,230.2,292.8,,1212.0,3406,0,
m2m12b.clauses+asr,es,300,pseudo(gemma4-26b),61.0,,146.0,230.2,292.8,,146.0,230.2,292.8,,1212.0,3406,0,
m2m12b.clauses+asr,fr,300,pseudo(gemma4-26b),56.5,,146.0,230.2,292.8,,146.0,230.2,292.8,,1212.0,3406,0,commentary=1
m2m12b.clauses+asr,pt,300,pseudo(gemma4-26b),59.3,,146.0,230.2,292.8,,146.0,230.2,292.8,,1212.0,3406,0,
